company,position,skill
사이버다임,서버개발팀 모바일 개발자(경력),"Android, Studio, Nodejs, Webpack, Redux, React, Native, Recoil, Xcode"
사이버다임,서버개발팀  웹클라이언트 개발자(경력),"JavaScript, CSS, HTML"
콘센트릭스서비스코리아,[Catalyst] 커머스플랫폼 구축/운영 BA,"SAP, hybriscommerce, Shopify, Spring, Boot, Docker, Oracle, JavaScript, HTML"
씨브이네트,[삼성계열사]백엔드 서버/보안 솔루션개발자,"Java, Spring, Boot, C, C++, TCPIP, MQTT, VPN, Backendless"
쉬모스랩,AI 백엔드 시스템 엔지니어 채용,"SQL, PostgreSQL, Python, Azure, DevOps, REST, API, gRPC, AI, Kubernetes, GCP, AZURE"
마야크루,백엔드 개발자,"Nodejs, ExpressJS, JavaScript, TypeScript, REST, API, MySQL, MongoDB, Docker, Kubernetes"
사이버다임,서버개발팀 백엔드 개발자(경력),"Java, JSP, Spring, Framework, RDB"
로민,AI 백엔드 시스템 엔지니어,"Python, FastAPI, PostgreSQL, Redis, Docker, AWS, Kubernetes, Istio, Helm, Git"
엠투피아이,PHP 웹개발자 채용 (경력 3~5년),"PHP, MySQL, Apache, Tomcat, Linux, Laravel, XML, CSS, JavaScript, jQuery"
블록체인글로벌,토큰증권 서비스 프론트엔드 개발(미들급),"JavaScript, Vuejs, React, TypeScript, Git"
리브스메드,"사내 시스템 담당자, ERP팀(대리-과장급)","ERP, MES, React, Query, Kubernetes, MSA, Deta, Cloud"
블록체인글로벌,Front-End 엔지니어 채용(미들급),"JavaScript, Vuejs, React, TypeScript, Git"
긴트,임베디드 소프트웨어 개발자(신입~4년차),"C, C++, SW, Embedded"
마카롱팩토리,프론트엔드 개발 (5년 이상),"React, TypeScript, JavaScript, HTML, REST, API"
팜클,SW 개발 PM(Project Manager) 주임급,"Python, AWS, Git, iOS, Linux, Android, OS, C++, C"
네일톡톡,Flutter 앱 개발자 채용,"Flutter, Dart, iOS, Android, OS"
로민,솔루션운영 엔지니어 (1년 이상),"Python, Java, PostgreSQL, NGINX, Docker, Kubernetes, Linux, Ubuntu"
에이아이트릭스,Solution Engineer,"Git, Linux, Python, Docker, Compose, Jira"
한솔피엔에스,MES 솔루션 개발 R&D 리더,"MES, Spring, Boot, Vuejs, Java, ERP, DB, PLC, Oracle, MSSQL"
우리엔,반려동물 시스템 엔지니어(SE) (Junior 가능),"AWS, MySQL, Jenkins, Network"
아몬드컴퍼니,스트리밍기반 콘텐츠서비스 프론트엔드,"JavaScript, React, Nextjs, CSS, HTML, TypeScript"
쉬모스랩,컴퓨터비전 엔지니어 채용,"Docker, Linux, Git, gRPC, SQL, Kubernetes, TensorFlow, PostgreSQL, Python, Azure, DevOps"
블록체인글로벌,토큰증권서비스 프론트엔드개발(6년~8년),"JavaScript, Vuejs, React, TypeScript, Git"
엠로,AI솔루션 개발자(경력 5~10년),"Java, JavaScript, Spring, Framework"
스콥정보통신,어플리케이션 개발자 채용,"C, C++, Golang, Nodejs, Windows, Server, macOS, VPN"
가레나코리아,[외국계 게임사] 인큐베이션 개발자(경력),"Unity, Unreal, Engine"
레플리,iOS 개발자,iOS
벤디트,프론트엔드 개발자,"React, TypeScript, GraphQL, Electron, AWS, MSA, C++, C"
콘센트릭스서비스코리아,[Catalyst] 퍼블리셔,"JavaScript, jQuery, UI"
마카롱팩토리,서버 개발 (5년 이상),"Spring, Kotlin, Java, AWS, MySQL, Redis, Git, Dynamo, Druid"
우리엔,".Net, C# Application Developer (Junior 가능)","C++, Windows, Delphi, SQL, C#, NET"
지엔에이컴퍼니,[플레이오] Python 백엔드 (3~5),"Python, REST, API, AWS, MySQL, GitHub, Docker, Swarm, FastAPI"
노아시스템즈,솔루션 백엔드(Backend) 개발자,"Java, Shell, Spring, Boot, Security, Linux, Swagger, UI"
오픈엣지테크놀로지,[IT Infra]IT Administrative Engineer,"Shell, Docker, Kubernetes, Jenkins, Ansible, Git, Grafana, Prometheus"
법틀,B2B S/W서비스운영개발,"SW, Python, Django, Java, Spring, Boot, Vuejs, JavaScript, jQuery, PostgreSQL, MSSQL"
팜팜,AI 개발자 [경력],"Python, TensorFlow, PyTorch, GCP, Kubernetes"
엠로,데이터 분석 플랫폼 개발자(경력 6~10년),"Java, Spring, Framework, JavaScript, Python"
연합인포맥스,IT/AI부문(전문연구요원 포함) 채용,"AI, TypeScript, Nextjs, Python, Chartjs, NLP"
콘센트릭스서비스코리아,[Catalyst]JAVA 개발(장애인 특별전형),"JavaScript, Angular, React, Vuejs, Java, Spring, SQL, REST, API, Docker"
