company_name,position,skill
콘센트릭스 Catalyst,이커머스 개발자,"JavaScript, Java, SQL"
빅웨이브로보틱스(주),로봇 통합 관제 시스템 백엔드 개발자 (5년 이상),"AWS, Kotlin, devops, Redis, Linux, JUnit, Firebase, Flutter, React, GitHub"
콘센트릭스 Catalyst,Adobe AEM 개발 전문가,"JSP, Java"
스팬딧,백엔드개발자,"Ruby on Rails, Ruby, Java, Spring Boot, AWS, JPA, Github, MySQL, PostgreSQL"
(주)브리치,[비플로우] 백엔드/서버 개발자,"PHP, JavaScript, Python, Node.js, Spring Boot, AWS"
(주)딥브레인에이아이,"[딥브레인 AI] 개발자(Front, Back) 및 PM 채용의 건","JavaScript, TypeScript, Node.js, Next.js, Express, MongoDB, React, Figma"
콘센트릭스 Catalyst,글로벌 웹 분석 관련 개발자,"HTML/CSS, JavaScript, Google Analytics, JSP"
빅웨이브로보틱스(주),로봇 통합 관제 시스템 프론트엔드 개발자 (5년 이상),"AWS, devops, React, Firebase, GitHub, SQL, Redis, Flutter, Git, JUnit"
(주)다날,다날 결제시스템 BE개발 경력 채용,"Java, spring-framework, Spring Boot, Spring Batch, REST API, MySQL, MSSQL, PostgreSQL"
베링랩,백엔드 개발자 (Rust),"Rust, Python, devops, backend, CI/CD, MSA, 동시성, Kubernetes"
스팬딧,시니어 백엔드 개발자,"Ruby on Rails, Java, Spring Boot, AWS, JPA, Github, MySQL, PostgreSQL, Ruby"
(주)컨두잇,백엔드 개발자,"Java, Spring Boot, PostgreSQL, JPA, AWS, JUnit, Mockito, Git"
인프랩 (인프런),[인재풀] 전 직군,"MS-Office, Slack"
SK(주) C&C,"제2금융권(보험,증권) 서버 운영 업무 수행 구성원 영입",Windows Server
(주)다날,다날 정보시스템 개발 경력 채용,"Oracle, MSSQL, SQL, Spring Batch, REST API"
아파트아이,JAVA 백엔드 (대리급) / 5~8년,"Java, Spring, JavaScript, jQuery"
(주)디랙스,AWS 소프트웨어 개발자 모집,"Java, Spring, MySQL, AWS, Android, iOS, JSP"
씨드앤,백엔드 개발자 (5년 이상~10년 이하),"JavaScript, Java, Next.js, NestJS, express.js"
주식회사 원더베리,소프트웨어 엔지니어,"C, C++, Unity, Unreal Engine"
주식회사 원더베리,데브옵스 엔지니어,"AWS, Google Cloud Platform, Azure, Docker, Kubernetes, CI/CD, REST API, GraphQL, Node.js"
하이프로토콜,[Web3] 크로스체인 프로토콜 프론트엔드 시니어 개발자 채용,"TypeScript, React, Redux, react-query, Next.js, websockets"
이수시스템,[이수시스템] 인사솔루션 개발자,"Java, JavaScript, Oracle, JSP, Spring, Vue.js"
데일리펀딩,백엔드 개발자,"Python, MySQL, PostgreSQL, REST API, Github, PHP"
(주)탄소중립연구원,[Net-Zero 선도기업_탄소중립연구원]서비스 운영 지원 백엔드 개발자,"JavaScript, TypeScript, Node.js, NestJS, ORM, Prisma, TypeORM, PostgreSQL, Docker, aws-ec2"
(주)에이티앤피파트너즈,백엔드 개발자 경력 2년 이상,"Java, Spring Boot, PostgreSQL, Redis, JPA, querydsl, Linux, AWS, IntelliJ IDEA, GitHub"
휴머스온,통합 메시징 및 AI 기반 서비스 개발자,"Spring Boot, MySQL, Oracle, Redis, Kafka, Java, REST API, AWS, Google Cloud Platform, Azure"
CLASS101,백엔드 개발자,"Java, Kotlin, Spring Boot, Kubernetes, TypeScript, Node.js"
한솔코에버주식회사,JAVA 개발자 경력직 채용,"Java, Vue.js, JPA, Spring, Spring Boot"
주식회사 시크한,Back-end 개발자 채용 공고,"NestJS, Spring Boot, Google Cloud Platform, GraphQL, PostgreSQL, REST API"
올거나이즈코리아주식회사,[AI Startup] 파이썬 백엔드 엔지니어,"Docker, Django, Python, Keras"
크몽,Backend Kotlin Developer (5-12년),"Kotlin, Java"
콘센트릭스 Catalyst,이커머스 개발 PM/PL,"Java, Oracle, Spring"
