company,position,skill
여기어때컴퍼니,QA Engineer,"FrontBack, office, QA, iOSAndroid, ISTQB, FL, ecommerce, O2O, Charles, proxy, tool, Postman, API, Test, RobotFramework, GTMGoogle, Tag, Manager"
"브레이브모바일(숨고,Soomgo)",Back-end Engineer,"Python, Flask, Falcon, FastAPI, MySQL, MongoDB, Redis, ElasticSearch, Kafka, RabbitMQ, gRPC, Kubernetes, K8sArgoCD, CICD, Git, GitHub, Bitbucket, NewRelic, Bugsnag, Slack, Confluence, Jira, Copilot, RESTful, API, Java, Kotlin, NodeJS, Go, C++, web, framework, REST, RDBMS, MSA, Terry"
컬리,BI팀 데이터 분석 엔지니어 ( Data Analytics Engineer ),"GCP, SQL, Python, Airflow, Tableau, Looker, BI, Git, Quality, Check"
비비던트코리아,Prompt Engineer (ML),"AI, LLM, LangSmith, Langfuse, LLMOps, Python, JavaScript, Dify, Langflow, Flowise, ComfyUI, ChainofThought, Fewshot, learning, LangChain, LlamaIndex, Docker, RAGRetrievalAugmented, Generation"
벙커키즈,LLM/Diffusion API Pipeline & Prompt Engineer,"LLM, Diffusion, AI, OpenAI, Google, Gemini, Stability, API, UX, APIOpenAI, Python, Prompt, Token, Image, Generation, AIDiffusion, Stable, LangChain, LangGraph, AI++, RQ, Celery"
샐러드랩,이커머스 솔루션 Python Backend 리드,"UX, MAU, Angular, Python, Django, FastAPI, AWS, EC2, RDS, Aurora, S3, Lambda, Route, NginX, Docker, CS, Flask, RDBMS"
로플랫,웹 개발자,"loplat, X, DMP, Reactjs, Redux, Recoil, Python, FastAPI, MySQL, Redis, BigQuery, Git, Jira, Slack, Notion, React, JavaScript, REST, API, TOPIK, JS, E2E, SSR, TypeScript, Webpack, AI"
라이언로켓,AI SaaS 테크리드 (풀스택),"Cursor, AI, API, IT, HTML, CSS, TypeScript, React, Vue, Svelte, etc, Remix, Nextjs, SSR, Python, Fastapi, DB, Git, CICD, Typescript, reactquery, zustand, pnpm, django, AWS"
라이언로켓,MLOps 엔지니어 (주니어),"AI, Python, Pytorch, Tensorrt, Triton, Onnx, CUDA"
블루밍그레이스,Backend Engineer,"JavaScript, Python, C++, Backend, AI"
블루밍그레이스,Frontend Engineer,"HTML, CSS, JavaScript, Python, Frontend, AI"
에스엠하이플러스,Front-end Engineer,"UIUX, iOS, App, Store, Connect, REST, API, Swift, SwiftUI, Flutter, React, Native, UIKit, XCTest, Core, Data, RESTful, ObjectiveC, Google, Play, Console, CICD, Jenkins, GitHub, Actions, NFC, GPS, Vuejs, Spring, MyBatis, TypeScript"
위메이드(WEMADE),프론트엔드 개발(WEMIX PLAY),"Wemix, Play, Console, FE, App, Wallet, Connect, Javascript, SDK, Back, Office, Injected, Module, TypeScript, React, Nextjs, SSR, JavaScript, CSS, HTML, RESTful, API, jsonrpc, Web3js, ethersjs, connect, Blockchain, UIUX, Git, Jira, Confluence"
위메이드(WEMADE),백엔드 개발(WEMIX PLAY),"Wemixplay, webshop, console, PG, Java, Spring, Boot, DB, NoSQL, Database, REST, API, MVC, Blockchain"
위펀(스낵24),플랫폼 및 운영 엔지니어(DevOps/SRE),"Observability, CICD, FinOps, ERP, CRM, WMS, OMS, TMS, Java, Spring, Boot, MySQLMariaDB, API, ActiveMQ, Kafka, AWS, GCP, UX, Slack, Notion, Google, Workspace, SaaS, SSO, Terraform, Ansible, IaC, ELK, Grafana, Prometheus, Looker, Metabase, BI, Jira, GitHub, Actions, Jenkins, DevTool, Bot"
토르드라이브,Software Engineer(SLAM) 전문연구요원 가능,"SLAM, Realtime, ARM, ROS1, ROS2, linux, Docker, git, C++, LiDAR, Camera, Radar"
콘센트릭스서비스코리아CATALYST,웹퍼블리셔,"WebPC, Javascript, UI, PL, AEM"
워트인텔리전스,데이터 엔지니어 (3년 이상),"Hadoop, Spark, Airflow, Python, Data, Lake, Mart, Governance, Iceberg, Druid, Superset, OpenMetadata, DolphinScheduler, OSS"
위펀(스낵24),프론트엔드 개발자 (Frontend/React),"React, TypeScript, RESTful, API, GraphQL, UIUX, Jest, Cypress, E2E, CICD, JavaScriptES6, HTML5, CSS3, Git, Semantic, Markup, UI, UX"
토르드라이브,자율주행 필드엔지니어 (Autonomous Field Engineer),Linux
고퀄(GOQUAL),임베디드 개발자,"3rdparty, ZigBee, WiFi, IoT"
여기어때컴퍼니,MLOps Engineer,"MLDL, ML, Git, Docker, Airflow, CICD, Python, TensorFlow, PyTorch, AWS, MLOps, MLflow, Data, Lake, BigQuery, Spark"
노타(Nota),[Solution] Product Manager,"AI, KPI, ROI, IT, PDFPPT, Zero, to, One"
웰트(WELT),iOS 개발자,"DTx, iOS, SwiftUI, UIKit, AI, Assist, Tools, Swift, Concurrencyasync, actor, task, Combine, Framework, CoreData+SwiftData, Custom, UI, Keychain, Unit, Testing, CICD, App, Store, CoreML, MLX, OnDevice, CS"
고퀄(GOQUAL),QA 엔지니어,"QA, ISTQB"
앤서스랩코리아,[Casino Platform]Application Server,"Casino, PlatformCPTeam, Integration, QA, CP, httpsnsuslabkoreacareergreetinghrcominterview6, Game, Backend, Platform, User, Wallet, System, API, Data, RESTful, Message, Queue, AppServer, Socket, Base, Client, Session, Server, Status, Kotlin, or, Java, +, Spring, RDB, NoSQL, Redis, WebSocket, AWS, Cloud, Infrastructure"
씨드앤,백엔드 개발자 (3년 이상~5년 미만),"RESTful, API, Nodejs, Expressjs, Nestjs, MySQL, RDBMS, TypeScript, AWSAzure, Docker, Kubernetes, Jest, Mocha"
씨드앤,백엔드 개발자 (5년 이상~10년 미만),"RESTful, API, Nodejs, Expressjs, Nestjs, MySQL, RDBMS, TypeScript, AWSAzure, Docker, Kubernetes, Jest, Mocha"
쏘카(SOCAR),iOS Developer,"iOS, +, Swift, ObjectiveC"
바이스벌사,생성형 AI/LLM 엔지니어,"LLM, RAG, AI, Prompt, Engineering, LangChain, LangGraph, MCP, PoC, NLP, Python, RetrievalAugmented, Generation, AWS, GCP, Runtime"
커넥트브릭,이미지 생성AI 전문 AI/DL 엔지니어 2년 이상,"Diffusion, Transformer, ComfyUI, LLM, AI, GPU, Python, AIDL, Stable, ControlNet, LoRA, WebUI, Docker"
"브레이브모바일(숨고,Soomgo)",QA Specialist,"Jira, Confluence, Slack, TestRail, AppWeb, UXUI, QA, Test, Case, Tool, ISTQB, CSTS, Chapter, Lead, Joseph"
오렌지랩스,WIN32 시스템 소프트웨어(C++) 개발,"Agent, C++, Windows, Application, Server, Visual, WIN3, API, No, MFC, Process, WinDbg, Dump, PC, ETW, Shell, TCP, UDP, HTTP, SSL, SQLITE3, Memory, db, File, #Windows, Kernel, Network, Registry, USB, #, EDR, DLP, driver, Handle, leak, CPU, Hang, Deadlock, no, response, Filter, Linux"
브이디크럭스,JAVA 백엔드 개발자(3년-5년),"JAVA, Windows, POS, KIOSK, RDBMS, AWS, Java, Spring, FrameworkSpring, Boot, JPA, JPAHibernate, Socket, Oracle, MySQL, Git, Bitbucket, Github, InteliJ, Jira, Notion, Slack, k8s, terraform, aws, apm"
바이트사이즈,인공지능 SW 연구 개발,"MLDL, AI, Model, TensorFlow, Pytorch, NLP, Srable, Diffusion, CV, MLOps, MLFlow, KbueFlow, spark, airflow, ML"
111퍼센트,게임 QA,"QA, Test, Case, Check, List"
111퍼센트,게임 QA 담당자 Specialist,"Development, QA, Publishing, FunctionNonfunctional, Maintenance, Mobile, Platform, Clientbased, Game, Serverbased, Performance, Testing, Tools, Static, Analysis, Opensource, Unity, Editor, Unit, Component, Test, Case, Check, List"
미리비트,빅데이터 엔지니어 (인메모리 기반),"k8s, flink, spark, PM, PL, scala, java, hadoop"
키다리스튜디오,웹툰 콘텐츠관리 시스템개발자(Java/Spring),"PI, MSA, JavaSpring, DB, SQL, Kafka, xjavascript, frameworkVuejs, Reactjs, CICD, AWS, K8S, Docker"
제논,Vision AI Engineer (Inspection),"C#, GigEUSB3, Vision, SDK, PyTorch, ClassificationDetectionSegmentation, PCWindows, CVAT, AI, Python, CNN, Segmentation, Detection, YOLOv8, MMDetection, SegmentAnything, C++, CVATLabel, Studio, OpenCV, NET, GUIWindows, Forms, WPF, MVVM"
제논,AI Engineer (전문연 지원 가능),"LLM, AI, LangChain, LangGraph, RAG, Python, PyTorch, TensorFlow, Langchain, Langraph, Rasa, Flowise, Langfuse, Docker, Kubernetes"
인텔리안테크놀로지스,평택연구소 SW,"Kernel, Platform, Middleware, Application, SW, Embedded, Linux, CC++, RESTful, Shell, Script, CGI, HTML, JSON, API, IP, Network, Communication"
제논,Backend Engineer (전문연 지원 가능),"AI, QA, API, FastAPI, Flask, Django, RDBMS, MariaDB, PostgreSQL, NoSQL, DB, Github, Jira, CICD, TDD, CS, LLM, Docker, Kubernetes, ORMSQLAlchemy, Linux"
제논,DataScientist (전문연 지원 가능),"Deep, LearningMachine, Learning, DLML, Modeling, AI, RAG, ToD, LLM, Table, OCR, Chunking, ML, frameworkTensorflow, PyTorch, Kaggle, Challenge"
제논,[인공지능솔루션] QA 담당,"MLOps, LLMOps, SW, QA, Web, UI, API, CICD, Python, TypeScript, Docker, Kubernetes"
제논,ML Engineer (전문연 지원 가능),"AI, vLLM, SGLang, DeepSpeed, Triton, ML, LLM, TensorRT, LightLLM, FW, MegatronLM, PyTorch, Lightning, Horovod, AB, RAG, Docker, Kubernetes, MLOps, GPU"
