company,position,skill
씨브이네트,[삼성계열사]백엔드 서버/보안 솔루션개발자,"Java, Spring, Boot, C, C++, TCPIP, MQTT, VPN, Backendless"
콘센트릭스서비스코리아,[Catalyst] 커머스플랫폼 구축/운영 BA,"SAP, hybriscommerce, Shopify, Spring, Boot, Docker, Oracle, JavaScript, HTML"
쉬모스랩,AI 백엔드 시스템 엔지니어 채용,"SQL, PostgreSQL, Python, Azure, DevOps, REST, API, gRPC, AI, Kubernetes, GCP, AZURE"
마야크루,백엔드 개발자,"Nodejs, ExpressJS, JavaScript, TypeScript, REST, API, MySQL, MongoDB, Docker, Kubernetes"
로민,AI 백엔드 시스템 엔지니어,"Python, FastAPI, PostgreSQL, Redis, Docker, AWS, Kubernetes, Istio, Helm, Git"
사이버다임,서버개발팀 백엔드 개발자(경력),"Java, JSP, Spring, Framework, RDB"
스콥정보통신,어플리케이션 개발자 채용,"C, C++, Golang, Nodejs, Windows, Server, macOS, VPN"
로민,솔루션운영 엔지니어 (1년 이상),"Python, Java, PostgreSQL, NGINX, Docker, Kubernetes, Linux, Ubuntu"
팜팜,AI 개발자 [경력],"Python, TensorFlow, PyTorch, GCP, Kubernetes"
마카롱팩토리,서버 개발 (5년 이상),"Spring, Kotlin, Java, AWS, MySQL, Redis, Git, Dynamo, Druid"
지엔에이컴퍼니,[플레이오] Python 백엔드 (3~5),"Python, REST, API, AWS, MySQL, GitHub, Docker, Swarm, FastAPI"
노아시스템즈,솔루션 백엔드(Backend) 개발자,"Java, Shell, Spring, Boot, Security, Linux, Swagger, UI"
디어유,메세징 서비스 개발자 채용,"Java, REST, API, AWS, Spring, Boot, Python, MySQL, NoSql, Django, Flask"
제논,[인공지능솔루션] Search Engineer,"Elasticsearch, Docker, Python, Kubernetes"
프리윌린,Tech Innovation 워킹그룹 풀스택 개발,"TypeScript, AWS, Spring, RDB, Kotlin"
쉬모스랩,데이터 엔지니어 채용,"SQL, PostgreSQL, Python, Azure, DevOps, Git, Docker, REST, API, gRPC, AWS, AZURE"
펜타시큐리티,인증보안 백엔드 개발자,"Spring, Boot, Java, MariaDB, Mybatis"
이마고웍스,BE Engineer,"TypeScript, NestJS, MongoDB, NoSql, AZURE, AWS, Rust"
올거나이즈코리아,Python Back-end Enginner,"Python, Backendless"
마이노멀컴퍼니,[인아웃] 백엔드 개발자 (3년 이상),"Nodejs, TypeScript, NestJS, Docker, Amazon, RDS, DynamoDB, Elasticsearch, ElastiCache, AWS, Lambda, EC"
에이아이트릭스,Sr. Backend Engineer,"MongoDB, Golang, MySQL, Python"
제논,[인공지능솔루션] Backend Engineer,"Docker, Python, FastAPI, GitHub, Django, Jira, NoSql, Flask, Linux"
스콥정보통신,리눅스서버 SW 개발자 채용,"C, C++, Linux, TCPIP, L, Go, Python"
불마켓랩스(BullMarketLabsCo.Ltd.),Back-End Engineer,"Kotlin, Spring, Boot, Go, Python, Java, MySQL, Apache, RocketMQ, Kubernetes, Rust, Kafka"
싸이터,백엔드 개발자 채용 (5년 이상),"Spring, Boot, Kubernetes, MySQL, Kafka, Elasticsearch, REST, API, MSA, AWS, Java"
알로카도스,시니어 파이썬 백엔드 엔지니어 채용,"AWS, Django, Python, MongoDB, Kubernetes, FastAPI, Flask, Amazon, DynamoDB, Redis, Docker"
에스티씨랩,빅데이터 엔진 개발,"Go, Python"
제이앤피메디,시니어 백엔드 SW Engineer,"TypeScript, MSA, MySQL, Nodejs, AWS, GitHub, Actions, JavaScript"
아파트아이,Java 백엔드 개발자(11~15년),"Spring, JavaScript, jQuery, Java"
다큐브,python 에이전트 개발자,"Python, FastAPI"
퍼플아카데미,빅데이터 학습 솔루션 백엔드 개발자,"JavaScript, SQL, BigData, Nodejs, AWS, NestJS"
델레오코리아,[플랫폼개발팀] Java 주니어 개발자,"REST, API, Git, Redis, RabbitMQ, RDB, AWS, Spring, Boot, Kafka, Java"
엑심베이,오프라인 결제 개발자(3~5년),"Java, JavaScript, Spring, Framework, Boot, JSP, Linux, C#"
올거나이즈코리아,NLP Researcher/Engineer (RAG),"AI, NLP, DeepLearning, Backendless"
안전집사,백엔드 서비스 개발자,"Java, Spring, Boot, OpenAPI"
언더라이터,서버/백엔드 개발자,"Kotlin, Spring, Boot, AWS, GitHub, Linux, MySQL, Data, JPA, MongoDB"
헤렌,브랜다즈 백엔드개발자(자바/코틀린),"Java, Kotlin, Spring, Boot, Mybatis, MariaDB, MySQL, DataGrip, GitHub, Slack, Notion, Jenkins"
팬딩,백엔드 리드 개발자 (5~10년차),"REST, API"
룰루랩,서버/백엔드 개발자,"Java, Kotlin"
코드스테이츠,Product Engineer,"React, Nextjs, TypeScript, REST, API, Bitbucket, AWS, GitHub, Slack, Notion, Jira"
제네시스네스트,Java(Back-End)개발자 [경력 1~8년],"Spring, Java, Linux, Blockchain"
아이스크림아트,백엔드 개발자 총괄 채용,"Nodejs, React, TypeScript, Flutter, AWS, CSS, HTML"
팬택씨앤아이,ERP시스템 신규 개발 및 운영 유지보수,"MSSQL, SQL"
커넥트웨이브,써머스플랫폼 서비스기획자 (경력3~10),"Microsoft, Excel"
빗썸코리아,블록체인 서비스 개발 (시니어),"Blockchain, Java, Spring, MySQL, Kafka, Redis, AWS"
애자일,SaaS 솔루션 개발 (경력 3~5),"Java, Jira, Oracle, DB, Spring, Boot, Bitbucket, Gradle, Slack, Backpack"
불마켓랩스(BullMarketLabsCo.Ltd.),Site Reliability Engineer,"AWS, Amazon, EC, Container, Service, RDS, KS, Terraform, GitHub, Actions, Java, Spring, Boot, Kubernetes, Docker"
유디아이디,쇼핑몰서비스 PHP 개발자 3년이상 모집,"PHP, MySQL, MongoDB, Laravel, GitLab, JavaScript, jQuery"
씨드앤,백엔드 개발자(5~7년),"Java, JavaScript, Kafka, AWS, AZURE, Kubernetes, TypeScript, Docker, Jest, Mocha"
제논,[인공지능솔루션] ML Engineer,"Docker, PyTorch, Kubernetes"
에피넷,[신입] Python 개발자,"AI, Python, Django, PostgreSQL, Linux, Docker, Git, JavaScript, MySQL"
셀디코리아,[셀디] 수출 솔루션 백엔드 개발자 모집,"Java, MySQL, SQL, Docker, Kubernetes, Redis, Kafka"
커넥트웨이브,[다나와개발본부] Backend Engineer,"Python, Django, Flask, FastAPI, Java, Kotlin, Spring, Git, NoSql, Kafka"
피엠인터내셔널코리아,이머커스/백오피스 시스템개발(11~15년),"SQL, NoSql, MSA, AWS, Azure, DevOps"
미리비트,DSP서비스 구축 엔지니어,"KS, SQL, Helm"
벳플럭스,Django 백엔드 개발자,"Django, REST, framework, Celery, WebSocket"
