company,position,skill
오비맥주,[ABInBev Korea 오비맥주] BEES Product Engineer,Access
와디즈,[와디즈] 자바 백엔드 개발 (병역특례/전문연구요원/전직),"Java, Spring, Boot, REST, API, AWS, Git"
이지식스(엠블),[TADA] QA Engineer,"JIRA, Github"
CLASS101,소프트웨어 엔지니어,"Java, Kotlin, Spring, Boot, MongoDB, AWS, Kubernetes, Docker, MySQL, React, Native"
(주)야나두,[야나두(야핏)] 안드로이드(AOS) 개발,"Kotlin, Java, MVVM, Jetpack"
(주)위펀,(주)위펀 - Backend Engineer,"Java, Spring, Boot, JPA, querydsl, REST, API, Linux, AWS, MySQL, MariaDB"
주식회사 파수,윈도우(Windows) 보안프로그램 개발자,"C, C++, Microsoft, Windows"
(주)플래스크,(주)플래스크 개발자 (Frontend Software Engineer) 채용,"reactjs, Nextjs, TypeScript, githubactions, Figma, frontend, reactquery, ssr, csr"
SK(주) C&C,DBMS(Oracle) 구축 담당 구성원 영입 (촉탁직),"Oracle, DBMSRDBMS"
콘센트릭스 Catalyst,글로벌 웹 분석 관련 개발자,"HTMLCSS, JavaScript, Google, Analytics, JSP"
21세기전파상,시니어 개발자,"Git, Github, AWS, MySQL, SQL, React, Native, JavaScript, Nodejs"
(주)야나두,[야나두] 프론트엔드 개발 (React),"React, Nextjs, JavaScript, TypeScript, Redux, Vuejs"
메이븐클라우드서비스 주식회사,데이터엔지니어/PM,"sqlquery, R, Python"
(주)모카시스템,임베디드 펌웨어 개발자,"Linux, C, C++, Qt"
휴레이포지티브,머신러닝 개발자,NLP
씨드앤,데이터 엔지니어 (3년 이상),"Java, Kafka, AWS, Azure, Linux"
21세기전파상,프론트엔드 개발자,"Git, Github, MySQL, SQL, React, Native, JavaScript, Nodejs, AWS"
맨파워그룹코리아,데이터 엔지니어,"Python, R, React, Nodejs, Azure, MSSQL"
빅웨이브로보틱스(주),로봇 통합 관제 시스템 프론트엔드 개발자 (5년 이상),"AWS, devops, React, Firebase, GitHub, SQL, Redis, Flutter, Git, JUnit"
콘센트릭스 Catalyst,SAP Hybris 개발자,"Spring, Java"
SK(주) C&C,SAP BASIS 모듈 컨설턴트 영입,
(주)오메타,안드로이드 개발자,"Android, Java, Kotlin, MVC"
스팬딧,백엔드개발자,"Ruby, on, Rails, Java, Spring, Boot, AWS, JPA, Github, MySQL, PostgreSQL"
(주) 딥노이드,데이터 엔지니어,"Python, airflow, Git, Apache, Spark, Kafka, PostgreSQL"
브랜디,데브옵스 엔지니어 (DevOps Engineer),"AWS, Python, bash, Terraform, infrastructure, helm"
(주)에이티앤피파트너즈,백엔드 개발자 경력 2년 이상,"Java, Spring, Boot, PostgreSQL, Redis, JPA, querydsl, Linux, AWS, IntelliJ, IDEA, GitHub"
와탭랩스,백엔드 에이전트 개발자(Golang),"GO, SQL, DBMSRDBMS, MSA"
(주)딥브레인에이아이,"[딥브레인 AI] 개발자(Front, Back) 및 PM 채용의 건","JavaScript, TypeScript, Nodejs, Nextjs, Express, MongoDB, React, Figma"
주식회사 유니유니,[주식회사 유니유니] ‘개발 리드’ 채용,"Java, React, Github, Nodejs, AWS"
패스트뷰,백엔드 개발자 (5년 이상),"AWS, Nodejs, Kotlin, Spring, PHP, Confluence, Java, Boot, MySQL"
(주)캐처스,Javascript / Typscript 개발,"JavaScript, TypeScript"
(주)GC케어,HIS System 개발 및 운영,"C#, DBMSRDBMS, MSSQL"
세나클소프트,[경력] Windows Client(C# WPF) 개발,"C#, NET, Git, wpf"
콘센트릭스 Catalyst,이커머스 개발자,"JavaScript, Java, SQL"
센트비,Backend Engineer (Go),"Go, grpc, PostgreSQL, Redis, Git, Docker, argocd"
(주) 미스터카멜,DevOps Engineer,"C#, Selenium, Elasticsearch, Redis, MySQL, AWS"
클라코퍼레이션,백엔드 개발자,"JavaScript, TypeScript, NestJS, MySQL, Redis, AWS, amazonopensearch"
(주)캐시멜로,핀테크기업 [캐시멜로] 백엔드 개발자 채용 (경력3년 이상),"MySQL, Redis, springdatamybatis, Spring, Boot, Java, JPA"
